0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
105,  0.198237 0.0017314 -0.058334,   0.197449 0.00176703 -0.0580934,   0.195244 0.00110489 -0.0571046,   0.192869  0.0010283 -0.0565606,    0.190488 0.000961434  -0.0560519,    0.188108 0.000894767  -0.0555737,    0.185726 0.000828568   -0.055126,    0.183338 0.000762822  -0.0547087,    0.180941 0.000697522  -0.0543219,    0.178532 0.000632663  -0.0539656,    0.176107 0.000568243    -0.05364,    0.173662 0.000504261  -0.0533453,    0.171196 0.000440715  -0.0530817,    0.168703 0.000377609  -0.0528496,    0.166181 0.000314949  -0.0526491,    0.163627 0.000252733  -0.0524808,    0.161037 0.000190965  -0.0523449,    0.158407 0.000129656  -0.0522417,    0.155735 6.88173e-05  -0.0521715,    0.153018 8.46008e-06  -0.0521347,   0.0397126 5.45815e-05  -0.0586209, 
110,   0.194541 0.00205886 -0.0596716,   0.193754 0.00205924 -0.0594121,    0.19157 0.00141878 -0.0584604,   0.189207 0.00134814 -0.0579422,   0.186837  0.0012858 -0.0574588,   0.184467 0.00122339 -0.0570057,   0.182094 0.00116115 -0.0565825,   0.179714 0.00109909 -0.0561893,   0.177324 0.00103719 -0.0558262,    0.174922 0.000975481  -0.0554931,    0.172503 0.000913953  -0.0551903,    0.170065 0.000852619  -0.0549179,    0.167604 0.000791487  -0.0546761,    0.165118 0.000730569  -0.0544652,   0.162602 0.00066988 -0.0542854,    0.160054 0.000609425   -0.054137,     0.15747 0.000549215  -0.0540204,    0.154847 0.000489266  -0.0539358,    0.152183 0.000429598  -0.0538834,   0.149473 0.00037023 -0.0538635,   0.0393183 0.000172995  -0.0598066, 
115,   0.190654 0.00226386 -0.0610695,   0.189885 0.00223548 -0.0608065,   0.187715 0.00161926 -0.0598948,   0.185362 0.00155407 -0.0594032,   0.183001 0.00149589 -0.0589459,    0.18064 0.00143741 -0.0585184,   0.178275 0.00137886 -0.0581204,   0.175903 0.00132025 -0.0577519,    0.17352 0.00126158  -0.057413,   0.171125 0.00120288 -0.0571037,   0.168712 0.00114416 -0.0568241,    0.16628 0.00108543 -0.0565744,   0.163825 0.00102672 -0.0563547,    0.161345 0.000968035  -0.0561653,    0.158835 0.000909409  -0.0560063,    0.156294 0.000850854   -0.055878,    0.153717 0.000792382  -0.0557807,    0.151101 0.000734018  -0.0557146,   0.148444 0.00067579 -0.0556799,    0.145743 0.000617723  -0.0556767,   0.0388852 0.000269874  -0.0610226, 
120,   0.186712 0.00236227 -0.0624352,   0.185976 0.00231096  -0.062181,   0.183813  0.0017208 -0.0613108,    0.18147 0.00166056  -0.060846,   0.179118 0.00160619  -0.060415,   0.176764 0.00155134 -0.0600133,   0.174406 0.00149621 -0.0596407,    0.17204 0.00144083 -0.0592971,   0.169663 0.00138521 -0.0589826,   0.167273 0.00132939 -0.0586972,   0.164866 0.00127338  -0.058441,   0.162439  0.0012172 -0.0582141,   0.159989  0.0011609 -0.0580166,   0.157513 0.00110448 -0.0578487,   0.155009 0.00104799 -0.0577105,    0.152474 0.000991436  -0.0576023,   0.149903 0.00093485 -0.0575243,    0.147294 0.000878257  -0.0574767,    0.144644 0.000821692  -0.0574595,    0.141951 0.000765187  -0.0574729,   0.0384421 0.000347222   -0.062193, 
125,   0.182826 0.00237027 -0.0636999,    0.18213 0.00230145 -0.0634636,   0.179972 0.00173847 -0.0626351,  0.177636 0.0016827 -0.062197,    0.17529  0.0016318 -0.0617921,   0.172943 0.00158027 -0.0614161,    0.17059  0.0015283 -0.0610686,   0.168229 0.00147593 -0.0607498,   0.165857 0.00142317 -0.0604595,   0.163471 0.00137007 -0.0601978,   0.161067 0.00131665 -0.0599648,   0.158644 0.00126295 -0.0597605,  0.156198  0.001209 -0.059585,   0.153727 0.00115483 -0.0594385,   0.151227 0.00110049 -0.0593209,   0.148696 0.00104599 -0.0592326,     0.14613 0.000991376  -0.0591737,    0.143526 0.000936671  -0.0591443,    0.140883 0.000881917  -0.0591443,    0.138197 0.000827153   -0.059174,  0.0380123 0.00040738 -0.0632601, 
130,   0.179075 0.00230388 -0.0648174,   0.178424  0.0022225 -0.0646049,   0.176267 0.00168726 -0.0638175,   0.173936 0.00163551 -0.0634055,   0.171596 0.00158777 -0.0630263,   0.169253 0.00153927 -0.0626755,   0.166904 0.00149021 -0.0623528,   0.164547 0.00144062 -0.0620583,   0.162177 0.00139053 -0.0617918,   0.159794 0.00133999 -0.0615535,   0.157393 0.00128903 -0.0613433,   0.154972  0.0012377 -0.0611612,   0.152528 0.00118603 -0.0610074,   0.150059 0.00113407 -0.0608818,   0.147562 0.00108185 -0.0607845,   0.145034 0.00102942 -0.0607157,    0.142471 0.000976801  -0.0606756,    0.139872 0.000924043   -0.060664,    0.137233 0.000871189  -0.0606811,    0.134552 0.000818282  -0.0607267,   0.0376131 0.000452813  -0.0641856, 
135,   0.175511 0.00217848 -0.0657602,   0.174908 0.00208895  -0.065575,   0.172749 0.00158156 -0.0648274,   0.170422 0.00153339  -0.064441,   0.168086 0.00148852 -0.0640869,   0.165745  0.0014428 -0.0637607,   0.163399 0.00139641 -0.0634622,   0.161043 0.00134939 -0.0631914,   0.158675 0.00130178 -0.0629483,   0.156292 0.00125364 -0.0627327,   0.153892 0.00120501 -0.0625448,   0.151472 0.00115593 -0.0623845,   0.149029 0.00110645 -0.0622519,    0.14656 0.00105662 -0.0621468,   0.144064 0.00100648 -0.0620695,    0.141537 0.000956092  -0.0620198,    0.138976 0.000905478   -0.061998,    0.136379 0.000854691  -0.0620039,   0.133744 0.00080378 -0.0620376,    0.131066 0.000752794  -0.0620988,   0.0372562 0.000486144  -0.0649481, 
140,   0.172167 0.00200837 -0.0665165,   0.171609 0.00191444 -0.0663599,   0.169447 0.00143466 -0.0656505,   0.167123 0.00138969  -0.065289,   0.164788 0.00134742 -0.0649593,   0.162449 0.00130422 -0.0646571,   0.160102 0.00126028 -0.0643822,   0.157746 0.00121562 -0.0641346,   0.155378 0.00117032 -0.0639141,   0.152994 0.00112442 -0.0637209,   0.150593 0.00107797 -0.0635547,   0.148172 0.00103103 -0.0634156,    0.145728 0.000983637  -0.0633037,    0.143258 0.000935856  -0.0632187,    0.140761 0.000887738  -0.0631608,   0.138234 0.00083934 -0.0631298,    0.135673 0.000790699   -0.063126,    0.133076 0.000741871   -0.063149,    0.130442 0.000692909  -0.0631989,    0.127766 0.000643867  -0.0632755,   0.0369486 0.000509832  -0.0655387, 
145,   0.169771 0.00184931 -0.0673061,   0.171609 0.00191444 -0.0663599,   0.169447 0.00143466 -0.0656505,   0.167123 0.00138969  -0.065289,   0.164788 0.00134742 -0.0649593,   0.162449 0.00130422 -0.0646571,   0.160102 0.00126028 -0.0643822,   0.157746 0.00121562 -0.0641346,   0.155378 0.00117032 -0.0639141,   0.152994 0.00112442 -0.0637209,   0.150593 0.00107797 -0.0635547,   0.148172 0.00103103 -0.0634156,    0.145728 0.000983637  -0.0633037,    0.143258 0.000935856  -0.0632187,    0.140761 0.000887738  -0.0631608,   0.138234 0.00083934 -0.0631298,    0.135673 0.000790699   -0.063126,    0.133076 0.000741871   -0.063149,    0.130442 0.000692909  -0.0631989,    0.127766 0.000643867  -0.0632755,   0.0369486 0.000509832  -0.0655387, 
150,   0.165987 0.00197707 -0.0680712,   0.165462 0.00188397 -0.0679137,   0.163482 0.00106723 -0.0669536,   0.161161 0.00103005  -0.066642,    0.158828 0.000994832  -0.0663611,    0.156489 0.000958458  -0.0661068,    0.154142 0.000921092  -0.0658789,    0.151784 0.000882799  -0.0656772,    0.149413 0.000843646  -0.0655017,    0.147027 0.000803698  -0.0653524,   0.144622 0.00076302 -0.0652291,    0.142197 0.000721676  -0.0651317,   0.139749 0.00067973 -0.0650603,    0.137276 0.000637244  -0.0650146,    0.134776 0.000594282  -0.0649947,    0.132246 0.000550911  -0.0650004,    0.129683 0.000507184  -0.0650316,    0.127085 0.000463166  -0.0650881,     0.12445 0.000418918  -0.0651697,    0.121776 0.000374503  -0.0652762,   0.0368678 0.000588811  -0.0670145, 
