0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
315,    0.120431 -0.00250728   -0.045017,    0.120416 -0.00243466  -0.0451754,    0.117785 -0.00247039  -0.0452105,    0.114804 -0.00250878  -0.0455384,    0.111797 -0.00254646  -0.0458813,    0.108768 -0.00258494  -0.0462363,    0.105715 -0.00262412  -0.0466021,    0.102637 -0.00266391  -0.0469776,   0.0995332 -0.00270423  -0.0473614,   0.0964036 -0.00274498  -0.0477521,   0.0932473 -0.00278609  -0.0481482,   0.0900635 -0.00282746  -0.0485481,   0.0868518 -0.00286902    -0.04895,   0.0836117 -0.00291067  -0.0493524,   0.0803425 -0.00295233  -0.0497533,   0.0770438 -0.00299389  -0.0501509,   0.0737152 -0.00303525  -0.0505433,   0.0703564 -0.00307631  -0.0509285,    0.066967 -0.00311696  -0.0513045,    0.063547 -0.00315709   -0.051669,   0.0506642 0.000932086  -0.0484585, 
320,    0.119526 -0.00251054  -0.0437851,    0.119547 -0.00242917  -0.0439804,    0.116725 -0.00246891  -0.0441736,    0.113705 -0.00250932   -0.044517,    0.110657 -0.00254821  -0.0448758,    0.107586 -0.00258791  -0.0452458,    0.104491 -0.00262831  -0.0456256,    0.101371 -0.00266934   -0.046014,  0.0982249 -0.0027109 -0.0464094,   0.095053 -0.0027529 -0.0468104,   0.0918542 -0.00279527  -0.0472155,    0.088628 -0.00283791  -0.0476229,    0.085374 -0.00288074  -0.0480309,   0.0820917 -0.00292368  -0.0484377,   0.0787806 -0.00296663  -0.0488414,   0.0754401 -0.00300948    -0.04924,     0.07207 -0.00305214  -0.0496316,   0.0686701 -0.00309449  -0.0500142,     0.06524 -0.00313643  -0.0503855,   0.0617798 -0.00317786  -0.0507434,   0.0512726 0.000932273  -0.0473209, 
325,    0.118776 -0.00250836  -0.0424777,    0.118803 -0.00242512  -0.0426723,    0.115948 -0.00246271  -0.0428825,     0.11289 -0.00250358  -0.0432423,    0.109806 -0.00254346   -0.043615,    0.106699 -0.00258416  -0.0439979,    0.103567 -0.00262556  -0.0443897,     0.10041 -0.00266758  -0.0447889,   0.0972264 -0.00271014  -0.0451941,   0.0940164 -0.00275315  -0.0456037,   0.0907791 -0.00279651  -0.0460161,   0.0875141 -0.00284016  -0.0464296,    0.084221 -0.00288401  -0.0468422,   0.0808992 -0.00292796  -0.0472522,   0.0775484 -0.00297193  -0.0476575,   0.0741682 -0.00301581  -0.0480562,  0.0707582 -0.0030595 -0.0484462,  0.0673183 -0.0031029 -0.0488255,  0.0638484 -0.0031459 -0.0491917,   0.0603484 -0.00318838  -0.0495426,   0.0519725 0.000934058  -0.0459815, 
330,    0.117986 -0.00250027  -0.0411748,    0.118022 -0.00241455  -0.0413708,    0.115132 -0.00245312  -0.0415991,    0.112039 -0.00249472  -0.0419732,   0.108919 -0.0025356 -0.0423592,    0.105775 -0.00257729  -0.0427544,    0.102605 -0.00261969  -0.0431575,   0.0994103 -0.00266272  -0.0435669,   0.0961886 -0.00270629  -0.0439811,   0.0929398 -0.00275032  -0.0443985,   0.0896632 -0.00279471  -0.0448174,  0.0863585 -0.0028394 -0.0452359,   0.0830253 -0.00288429  -0.0456522,  0.0796632 -0.0029293 -0.0460643,   0.0762718 -0.00297434  -0.0464702,   0.0728507 -0.00301929  -0.0468679,   0.0693997 -0.00306407  -0.0472552,   0.0659189 -0.00310856  -0.0476299,   0.0624079 -0.00315268  -0.0479897,   0.058867 -0.0031963 -0.0483324,   0.0526733 0.000935583  -0.0446236, 
335,    0.117182 -0.00248938  -0.0398616,    0.117227 -0.00240128  -0.0400601,    0.114301 -0.00244009  -0.0403065,    0.111171 -0.00248267  -0.0406944,    0.108014 -0.00252453  -0.0410931,    0.104832 -0.00256721     -0.0415,    0.101625 -0.00261061  -0.0419136,   0.0983911 -0.00265464  -0.0423324,   0.0951303 -0.00269923  -0.0427548,   0.0918417 -0.00274429  -0.0431791,   0.0885251 -0.00278972  -0.0436035,     0.08518 -0.00283545  -0.0440261,    0.081806 -0.00288141  -0.0444449,   0.0784026 -0.00292749   -0.044858,  0.0749697 -0.0029736 -0.0452633,   0.0715069 -0.00301964  -0.0456587,   0.0680142 -0.00306552  -0.0460418,   0.0644915 -0.00311114  -0.0464106,   0.0609387 -0.00315639  -0.0467625,   0.0573561 -0.00320116  -0.0470953,   0.0533799 0.000936997   -0.043235, 
340,    0.116679 -0.00249444   -0.038531,    0.117227 -0.00240128  -0.0400601,    0.114301 -0.00244009  -0.0403065,    0.111171 -0.00248267  -0.0406944,    0.108014 -0.00252453  -0.0410931,    0.104832 -0.00256721     -0.0415,    0.101625 -0.00261061  -0.0419136,   0.0983911 -0.00265464  -0.0423324,   0.0951303 -0.00269923  -0.0427548,   0.0918417 -0.00274429  -0.0431791,   0.0885251 -0.00278972  -0.0436035,     0.08518 -0.00283545  -0.0440261,    0.081806 -0.00288141  -0.0444449,   0.0784026 -0.00292749   -0.044858,  0.0749697 -0.0029736 -0.0452633,   0.0715069 -0.00301964  -0.0456587,   0.0680142 -0.00306552  -0.0460418,   0.0644915 -0.00311114  -0.0464106,   0.0609387 -0.00315639  -0.0467625,   0.0573561 -0.00320116  -0.0470953,   0.0533799 0.000936997   -0.043235, 
345,    0.115455 -0.00247921   -0.037384,    0.115503 -0.00239014  -0.0375696,    0.112644 -0.00241899  -0.0377422,    0.109444 -0.00246326  -0.0381549,    0.106215 -0.00250686  -0.0385763,    0.102961 -0.00255128  -0.0390038,   0.0996789 -0.00259641  -0.0394357,   0.0963696 -0.00264219  -0.0398703,   0.0930322 -0.00268852   -0.040306,    0.089666 -0.00273533   -0.040741,   0.0862707 -0.00278254  -0.0411732,    0.082846 -0.00283007  -0.0416007,   0.0793916 -0.00287786  -0.0420213,  0.0759072 -0.0029258 -0.0424329,   0.0723924 -0.00297381  -0.0428333,   0.0688472 -0.00302179  -0.0432202,   0.0652715 -0.00306965  -0.0435913,   0.0616652 -0.00311728  -0.0439443,   0.0580286 -0.00316459  -0.0442765,   0.0543619 -0.00321146  -0.0445856,   0.0548423 0.000938482   -0.040424, 
350,     0.11464 -0.00245281  -0.0359941,    0.114719 -0.00235668  -0.0362094,    0.111674 -0.00239709  -0.0365099,    0.108429 -0.00244328  -0.0369351,    0.105154 -0.00248799  -0.0373688,    0.101852 -0.00253353  -0.0378072,   0.0985235 -0.00257982  -0.0382486,   0.0951667 -0.00262677  -0.0386913,  0.0917815 -0.0026743 -0.0391336,   0.0883675 -0.00272234  -0.0395734,  0.0849242 -0.0027708 -0.0400087,   0.0814516 -0.00281961  -0.0404375,   0.0779494 -0.00286869  -0.0408575,   0.0744171 -0.00291796  -0.0412665,   0.0708547 -0.00296731  -0.0416623,    0.067262 -0.00301666  -0.0420424,    0.063639 -0.00306589  -0.0424045,   0.0599859 -0.00311492  -0.0427462,   0.0563028 -0.00316364  -0.0430648,     0.05259 -0.00321194  -0.0433579,   0.0555253 0.000939168  -0.0390025, 
355,    0.113921 -0.00242995  -0.0345391,    0.114007 -0.00233252  -0.0347542,    0.110923 -0.00237268  -0.0350692,    0.107636 -0.00241913   -0.035507,     0.10432 -0.00246478  -0.0359507,    0.100977 -0.00251128  -0.0363979,    0.097606 -0.00255854  -0.0368469,   0.0942066 -0.00260647  -0.0372958,   0.0907782 -0.00265498  -0.0377427,   0.0873205 -0.00270401  -0.0381857,   0.0838331 -0.00275347  -0.0386226,  0.0803159 -0.0028033 -0.0390512,   0.0767687 -0.00285341  -0.0394693,   0.0731912 -0.00290372  -0.0398746,   0.0695832 -0.00295412  -0.0402647,   0.0659447 -0.00300453  -0.0406372,   0.0622759 -0.00305484  -0.0409897,   0.0585768 -0.00310497  -0.0413195,  0.0548477 -0.0031548 -0.0416242,    0.051089 -0.00320423   -0.041901,   0.0562853 0.000941207  -0.0374121, 
360,    0.113165 -0.00240344  -0.0330814,     0.11326 -0.00230424  -0.0332981,   0.110137 -0.0023457 -0.0336275,   0.106809 -0.0023929 -0.0340757,   0.103452 -0.0024395 -0.0345287,    0.100066 -0.00248696  -0.0349839,   0.0966528 -0.00253518  -0.0354394,     0.09321 -0.00258408  -0.0358934,   0.0897377 -0.00263359   -0.036344,   0.0862354 -0.00268362  -0.0367889,   0.082703 -0.0027341 -0.0372262,   0.0791404 -0.00278497  -0.0376534,   0.0755472 -0.00283613  -0.0380682,   0.0719233 -0.00288749  -0.0384684,   0.0682687 -0.00293897  -0.0388514,   0.0645833 -0.00299046  -0.0392149,   0.0608674 -0.00304189  -0.0395561,   0.0571211 -0.00309314  -0.0398725,   0.0533448 -0.00314412  -0.0401615,    0.049539 -0.00319473  -0.0404203,   0.0570474 0.000943287  -0.0357928, 
365,    0.112393 -0.00237511  -0.0316084,    0.112497 -0.00227416  -0.0318277,    0.109333 -0.00231641   -0.032171,    0.105963 -0.00236449   -0.032629,    0.102563 -0.00241201  -0.0330903,   0.0991355 -0.00246041  -0.0335525,   0.0956782 -0.00250959  -0.0340136,   0.0921913 -0.00255947  -0.0344716,   0.0886741 -0.00260996  -0.0349246,   0.0851264 -0.00266099  -0.0353704,   0.0815481 -0.00271249  -0.0358067,   0.0779391 -0.00276439  -0.0362311,   0.074299 -0.0028166 -0.0366413,   0.0706279 -0.00286902  -0.0370348,   0.0669256 -0.00292157  -0.0374092,   0.0631924 -0.00297415  -0.0377618,   0.0594284 -0.00302668  -0.0380901,   0.0556341 -0.00307907  -0.0383912,  0.0518097 -0.0031312 -0.0386626,   0.0479558 -0.00318298  -0.0389014,   0.0578151 0.000945548  -0.0341344, 
370,    0.111824 -0.00236179  -0.0301225,    0.112497 -0.00227416  -0.0318277,    0.109333 -0.00231641   -0.032171,    0.105963 -0.00236449   -0.032629,    0.102563 -0.00241201  -0.0330903,   0.0991355 -0.00246041  -0.0335525,   0.0956782 -0.00250959  -0.0340136,   0.0921913 -0.00255947  -0.0344716,   0.0886741 -0.00260996  -0.0349246,   0.0851264 -0.00266099  -0.0353704,   0.0815481 -0.00271249  -0.0358067,   0.0779391 -0.00276439  -0.0362311,   0.074299 -0.0028166 -0.0366413,   0.0706279 -0.00286902  -0.0370348,   0.0669256 -0.00292157  -0.0374092,   0.0631924 -0.00297415  -0.0377618,   0.0594284 -0.00302668  -0.0380901,   0.0556341 -0.00307907  -0.0383912,  0.0518097 -0.0031312 -0.0386626,   0.0479558 -0.00318298  -0.0389014,   0.0578151 0.000945548  -0.0341344, 
375,    0.110725 -0.00233343  -0.0287597,    0.110838 -0.00223152  -0.0289712,    0.107728 -0.00226303  -0.0292523,    0.104276 -0.00231264  -0.0297268,   0.100793 -0.0023618 -0.0302019,   0.0972802 -0.00241184   -0.030675,   0.0937364 -0.00246267  -0.0311441,   0.0901615 -0.00251422  -0.0316071,    0.086555 -0.00256642  -0.0320617,   0.0829167 -0.00261917  -0.0325057,   0.0792467 -0.00267244  -0.0329366,   0.0755449 -0.00272614  -0.0333519,   0.071811 -0.0027802  -0.033749,   0.0680451 -0.00283452  -0.0341254,   0.0642471 -0.00288901  -0.0344785,   0.0604173 -0.00294358  -0.0348055,   0.0565561 -0.00299814  -0.0351036,   0.0526638 -0.00305259  -0.0353701,   0.0487411 -0.00310684  -0.0356021,   0.0447885 -0.00316078  -0.0357966,   0.0594014 0.000949401  -0.0307581, 
380,    0.109953 -0.00229041  -0.0271983,    0.110091 -0.00218345  -0.0274322,    0.106797 -0.00222725  -0.0278134,   0.103295 -0.0022786 -0.0282958,   0.0997609 -0.00232873  -0.0287774,   0.0961962 -0.00237977  -0.0292554,   0.0926002 -0.00243163  -0.0297275,   0.0889729 -0.00248423  -0.0301916,  0.0853137 -0.0025375 -0.0306453,   0.0816226 -0.00259136  -0.0310864,   0.0778997 -0.00264576  -0.0315121,   0.0741449 -0.00270062  -0.0319199,   0.0703581 -0.00275586  -0.0323072,   0.0665391 -0.00281139  -0.0326714,   0.0626882 -0.00286711  -0.0330097,   0.0588057 -0.00292292  -0.0333194,    0.054892 -0.00297875  -0.0335976,   0.0509475 -0.00303449  -0.0338413,    0.046973 -0.00309005  -0.0340478,   0.0429691 -0.00314532  -0.0342141,   0.0601562 0.000952267  -0.0290145, 
385,    0.109218 -0.00225398  -0.0255848,    0.109364 -0.00214604  -0.0258191,    0.106025 -0.00219034  -0.0262104,    0.102476 -0.00224176  -0.0266995,   0.0988962 -0.00229276  -0.0271857,   0.0952846 -0.00234468  -0.0276666,   0.0916412 -0.00239744    -0.02814,   0.0879656 -0.00245095  -0.0286035,   0.0842575 -0.00250513  -0.0290548,   0.0805169 -0.00255992  -0.0294915,   0.0767439 -0.00261526  -0.0299108,   0.0729384 -0.00267109  -0.0303101,   0.0691003 -0.00272729  -0.0306867,   0.0652298 -0.00278379   -0.031038,   0.0613269 -0.00284049   -0.031361,   0.0573922 -0.00289731  -0.0316529,   0.0534261 -0.00295416  -0.0319108,   0.0494292 -0.00301094  -0.0321317,   0.0454021 -0.00306756  -0.0323127,  0.0413457 -0.0031239 -0.0324508,   0.0609705 0.000956264  -0.0271354, 
390,    0.108447 -0.00221563  -0.0239592,    0.108602 -0.00210633  -0.0241955,     0.10522 -0.00215124  -0.0245953,    0.101626 -0.00220338  -0.0250895,   0.0979989 -0.00225523  -0.0255792,   0.0943398 -0.00230803  -0.0260618,    0.090648 -0.00236167  -0.0265351,   0.0869232 -0.00241609  -0.0269967,   0.0831652 -0.00247119  -0.0274442,   0.0793741 -0.00252692   -0.027875,     0.07555 -0.00258323  -0.0282862,   0.0716927 -0.00264001  -0.0286754,   0.0678022 -0.00269719  -0.0290396,   0.0638789 -0.00275467  -0.0293761,   0.0599229 -0.00281238  -0.0296819,   0.0559348 -0.00287021  -0.0299541,  0.0519151 -0.0029281 -0.0301897,   0.0478644 -0.00298594  -0.0303857,   0.0437835 -0.00304363   -0.030539,   0.0396734 -0.00310109  -0.0306466,   0.061787 0.00096065 -0.0252144, 
395,    0.107657 -0.00217602   -0.022312,    0.107822 -0.00206535   -0.022551,    0.104395 -0.00211055  -0.0229584,    0.100753 -0.00216343  -0.0234566,   0.0970787 -0.00221612  -0.0239485,   0.0933709 -0.00226977  -0.0244316,   0.0896297 -0.00232428  -0.0249035,   0.0858548 -0.00237959  -0.0253618,   0.0820459 -0.00243559  -0.0258039,   0.0782033 -0.00249226  -0.0262271,    0.074327 -0.00254951  -0.0266286,   0.0704168 -0.00260725  -0.0270058,   0.0664729 -0.00266537  -0.0273557,   0.0624957 -0.00272382  -0.0276755,   0.0584856 -0.00278251  -0.0279621,   0.0544431 -0.00284135  -0.0282125,   0.0503687 -0.00290026  -0.0284236,   0.0462633 -0.00295914  -0.0285923,  0.0421276 -0.0030179 -0.0287155,   0.0379627 -0.00307644  -0.0287901,   0.0626081 0.000965535  -0.0232437, 
400,    0.106968 -0.00214992  -0.0206568,    0.107822 -0.00206535   -0.022551,    0.104395 -0.00211055  -0.0229584,    0.100753 -0.00216343  -0.0234566,   0.0970787 -0.00221612  -0.0239485,   0.0933709 -0.00226977  -0.0244316,   0.0896297 -0.00232428  -0.0249035,   0.0858548 -0.00237959  -0.0253618,   0.0820459 -0.00243559  -0.0258039,   0.0782033 -0.00249226  -0.0262271,    0.074327 -0.00254951  -0.0266286,   0.0704168 -0.00260725  -0.0270058,   0.0664729 -0.00266537  -0.0273557,   0.0624957 -0.00272382  -0.0276755,   0.0584856 -0.00278251  -0.0279621,   0.0544431 -0.00284135  -0.0282125,   0.0503687 -0.00290026  -0.0284236,   0.0462633 -0.00295914  -0.0285923,  0.0421276 -0.0030179 -0.0287155,   0.0379627 -0.00307644  -0.0287901,   0.0626081 0.000965535  -0.0232437, 
405,    0.106363 -0.00213719  -0.0189943,    0.107822 -0.00206535   -0.022551,    0.104395 -0.00211055  -0.0229584,    0.100753 -0.00216343  -0.0234566,   0.0970787 -0.00221612  -0.0239485,   0.0933709 -0.00226977  -0.0244316,   0.0896297 -0.00232428  -0.0249035,   0.0858548 -0.00237959  -0.0253618,   0.0820459 -0.00243559  -0.0258039,   0.0782033 -0.00249226  -0.0262271,    0.074327 -0.00254951  -0.0266286,   0.0704168 -0.00260725  -0.0270058,   0.0664729 -0.00266537  -0.0273557,   0.0624957 -0.00272382  -0.0276755,   0.0584856 -0.00278251  -0.0279621,   0.0544431 -0.00284135  -0.0282125,   0.0503687 -0.00290026  -0.0284236,   0.0462633 -0.00295914  -0.0285923,  0.0421276 -0.0030179 -0.0287155,   0.0379627 -0.00307644  -0.0287901,   0.0626081 0.000965535  -0.0232437, 
410,    0.105085 -0.00210414  -0.0174941,    0.105267 -0.00199162  -0.0177246,     0.10199 -0.00200724  -0.0180047,   0.0982072 -0.00206191  -0.0185088,   0.0943887 -0.00211661  -0.0190015,   0.0905341 -0.00217229  -0.0194799,   0.0866434 -0.00222886  -0.0199416,   0.0827163 -0.00228624  -0.0203837,    0.078753 -0.00234438  -0.0208035,   0.0747537 -0.00240324  -0.0211978,   0.0707186 -0.00246276  -0.0215637,   0.0666476 -0.00252283  -0.0218982,   0.0625408 -0.00258338  -0.0221982,   0.0583986 -0.00264431  -0.0224605,   0.0542217 -0.00270553  -0.0226819,   0.0500108 -0.00276696  -0.0228592,   0.0457666 -0.00282851  -0.0229891,   0.0414902 -0.00289008  -0.0230682,   0.0371828 -0.00295159  -0.0230932,   0.0328455 -0.00301294  -0.0230608,    0.065178 0.000977796  -0.0171923, 
415,    0.104356 -0.00203184   -0.015684,   0.104569 -0.0019132 -0.0159423,    0.100956 -0.00195649  -0.0163672,   0.0971108 -0.00201319  -0.0168705,   0.0932297 -0.00206885  -0.0173599,   0.0893125 -0.00212552  -0.0178326,    0.085359 -0.00218311  -0.0182859,   0.0813691 -0.00224155  -0.0187168,   0.0773431 -0.00230078  -0.0191226,   0.0732814 -0.00236078  -0.0194999,   0.0691839 -0.00242146  -0.0198457,   0.0650506 -0.00248273   -0.020157,   0.0608819 -0.00254448  -0.0204306,   0.0566783 -0.00260664  -0.0206632,   0.0524403 -0.00266911  -0.0208515,  0.0481688 -0.0027318 -0.0209923,   0.0438647 -0.00279462  -0.0210822,   0.0395291 -0.00285749  -0.0211177,   0.0351631 -0.00292031  -0.0210956,   0.0307681 -0.00298298  -0.0210125,   0.0659661 0.000986257  -0.0150287, 
420,    0.103572 -0.00198256  -0.0138347,    0.103793 -0.00186329  -0.0140928,    0.100128 -0.00190659  -0.0145193,   0.0962303 -0.00196279  -0.0150205,   0.0922966 -0.00201919  -0.0155054,   0.0883257 -0.00207661  -0.0159714,   0.0843176 -0.00213496  -0.0164157,   0.0802721 -0.00219415  -0.0168354,   0.0761899 -0.00225417  -0.0172274,   0.0720711 -0.00231496  -0.0175884,   0.0679156 -0.00237643  -0.0179154,   0.0637237 -0.00243846  -0.0182052,   0.0594959 -0.00250099  -0.0184545,   0.0552327 -0.00256392  -0.0186599,   0.0509349 -0.00262717  -0.0188181,   0.0466032 -0.00269066  -0.0189257,   0.0422388 -0.00275429  -0.0189792,   0.0378427 -0.00281797  -0.0189752,   0.0334162 -0.00288161  -0.0189102,   0.0289608 -0.00294511  -0.0187809,    0.06683 0.00099563 -0.0127272, 
425,    0.102733 -0.00193127   -0.011972,    0.102964 -0.00181152  -0.0122318,   0.0992529 -0.00185389  -0.0126565,   0.0953028 -0.00191067  -0.0131537,   0.0913153 -0.00196781  -0.0136325,   0.0872897 -0.00202597  -0.0140901,   0.0832258 -0.00208508  -0.0145237,   0.0791238 -0.00214506  -0.0149303,  0.0749842 -0.0022059 -0.0153065,   0.0708069 -0.00226749  -0.0156492,   0.0665922 -0.00232974  -0.0159552,   0.0623404 -0.00239256  -0.0162212,   0.0580521 -0.00245588  -0.0164439,   0.0537281 -0.00251961  -0.0166197,    0.049369 -0.00258368  -0.0167453,   0.0449758 -0.00264799   -0.016817,   0.0405497 -0.00271247  -0.0168314,   0.0360918 -0.00277701  -0.0167849,   0.0316035 -0.00284153  -0.0166742,   0.0270862 -0.00290591  -0.0164956,  0.0676892 0.00100589 -0.0103725, 
430,   0.101859 -0.0018801 -0.0100842,    0.102101 -0.00176015  -0.0103466,   0.0983414 -0.00180139   -0.010768,   0.0943373 -0.00185874  -0.0112597,   0.0902947 -0.00191656  -0.0117307,   0.0862131 -0.00197543  -0.0121782,   0.0820923 -0.00203527  -0.0125992,   0.0779326 -0.00209601  -0.0129905,   0.0737343 -0.00215762  -0.0133489,   0.0694974 -0.00221996  -0.0136711,   0.0652222 -0.00228295  -0.0139539,   0.0609094 -0.00234652  -0.0141937,   0.0565596 -0.00241059  -0.0143872,   0.0521736 -0.00247509  -0.0145308,   0.0477523 -0.00253993  -0.0146209,   0.0432966 -0.00260503  -0.0146539,   0.0388077 -0.00267031  -0.0146262,   0.0342869 -0.00273566  -0.0145342,  0.0297357  -0.002801 -0.0143745,   0.0251557 -0.00286623  -0.0141434,   0.0685461  0.00101674 -0.00795579, 
435,    0.100955 -0.00183099 -0.00816588,    0.101207 -0.00171011 -0.00843121,   0.0973986 -0.00174991 -0.00884748,   0.0933388 -0.00180776 -0.00933221,   0.0892397 -0.00186622 -0.00979378,   0.0851006 -0.00192575  -0.0102294,   0.0809216 -0.00198627  -0.0106358,   0.0767029 -0.00204773  -0.0110099,   0.0724445 -0.00211003  -0.0113483,   0.0681467 -0.00217306  -0.0116478,     0.06381 -0.00223674   -0.011905,   0.059435  -0.002301 -0.0121162,   0.0550226 -0.00236579   -0.012278,   0.0505736 -0.00243101  -0.0123865,   0.0460889 -0.00249658  -0.0124383,   0.0415695 -0.00256242  -0.0124295,   0.0370168 -0.00262845  -0.0123567,   0.0324322 -0.00269456   -0.012216,   0.0278171 -0.00276066   -0.012004,   0.0231733 -0.00282665  -0.0117169,   0.0694017  0.00102808 -0.00547173, 
440,    0.100022 -0.00178181  -0.0062126,    0.100286 -0.00165962 -0.00648114,   0.0964276  -0.0016976 -0.00689043,   0.0923106 -0.00175591 -0.00736649,   0.0881535 -0.00181495 -0.00781688,   0.0839556 -0.00187508 -0.00823867,    0.079717 -0.00193624 -0.00862862,   0.0754378 -0.00199834 -0.00898342,    0.071118 -0.00206126 -0.00929979,   0.0667581 -0.00212492 -0.00957435,   0.0623587 -0.00218924 -0.00980346,   0.0579205 -0.00225417 -0.00998346,   0.0534444 -0.00231962  -0.0101107,   0.0489312 -0.00238552  -0.0101814,    0.044382 -0.00245178  -0.0101919,   0.0397979 -0.00251832  -0.0101384,   0.0351803 -0.00258504  -0.0100172,   0.0305306 -0.00265186 -0.00982463,   0.0258506 -0.00271867  -0.0095569,    0.021142 -0.00278536 -0.00921043,   0.0702581   0.0010405 -0.00291662, 
445,   0.0990622 -0.00173132 -0.00422161,   0.0993382 -0.00160764 -0.00449352,   0.0954291 -0.00164349 -0.00489376,   0.0912536 -0.00170219 -0.00535939,   0.0870372 -0.00176177 -0.00579672,   0.0827792 -0.00182245 -0.00620277,   0.0784796 -0.00188419 -0.00657416,   0.0741385 -0.00194686 -0.00690756,   0.0697561 -0.00201035 -0.00719963,   0.0653329 -0.00207459 -0.00744677,   0.0608697 -0.00213952 -0.00764525,   0.0563672 -0.00220507 -0.00779133,   0.0518262 -0.00227115 -0.00788125,   0.0472477 -0.00233769 -0.00791122,   0.0426328  -0.0024046 -0.00787742,   0.0379829 -0.00247178 -0.00777605,   0.0332993 -0.00253916 -0.00760328,   0.0285836 -0.00260662 -0.00735533,   0.0238376 -0.00267408 -0.00702845,   0.0190631 -0.00274142 -0.00661896,    0.0711172   0.00105429 -0.000287501, 
450,   0.0980745 -0.00167891 -0.00219088,   0.0983626  -0.0015537 -0.00246624,   0.0944026  -0.0015871 -0.00285519,   0.0901675 -0.00164615 -0.00330848,   0.0858906 -0.00170623 -0.00373077,   0.0815712 -0.00176743 -0.00411898,   0.0772094 -0.00182969 -0.00446964,   0.0728053 -0.00189288 -0.00477938,   0.0683591  -0.0019569 -0.00504471,   0.0638716 -0.00202169 -0.00526185,  0.0593434 -0.0020872  -0.005427,   0.0547754 -0.00215333 -0.00553635,   0.0501683    -0.00222 -0.00558606,   0.0455234 -0.00228714 -0.00557225,   0.0408419 -0.00235464 -0.00549103,    0.036125 -0.00242243 -0.00533849,   0.0313743  -0.0024904 -0.00511077,   0.0265915 -0.00255846 -0.00480399,   0.0217784 -0.00262651 -0.00441436,   0.0169371 -0.00269444 -0.00393812,  0.0719792 0.00106964 0.00241872, 
455,    0.0970578  -0.00162437 -0.000118725,     0.097358  -0.00149763 -0.000397617,    0.0933471  -0.00152828 -0.000772862,   0.0890514 -0.00158765 -0.00121178,   0.0847129 -0.00164819  -0.0016169,    0.080331 -0.00170987 -0.00198504,   0.0759058 -0.00177261 -0.00231267,   0.0714375 -0.00183629 -0.00259631,   0.0669265 -0.00190081 -0.00283227,   0.0623735 -0.00196614 -0.00301669,   0.0577792 -0.00203218 -0.00314569,   0.0531445 -0.00209886 -0.00321539,   0.0484704 -0.00216609 -0.00322187,   0.0437579 -0.00223377 -0.00316114,   0.0390085 -0.00230183 -0.00302923,   0.0342236 -0.00237016 -0.00282217,   0.0294047 -0.00243868   -0.002536,   0.0245538 -0.00250728 -0.00216678,   0.0196727 -0.00257585 -0.00171066,   0.0147636 -0.00264429 -0.00116382,   0.072844 0.00108666 0.00520492, 
460,   0.0960112 -0.00156764   0.0019969,    0.096324 -0.00143943  0.00171436,   0.0922619 -0.00146701   0.0013553,   0.0879043 -0.00152666  0.00093287,   0.0835031 -0.00158763 0.000547121,   0.0790577 -0.00164977  0.00020139,     0.074568  -0.00171296 -0.000100747,    0.0700344   -0.0017771 -0.000355706,    0.0654574  -0.00184211 -0.000559604,    0.0608378  -0.00190794 -0.000708485,    0.0561762   -0.0019745 -0.000798432,    0.0514736  -0.00204169 -0.000825475,     0.046731  -0.00210942 -0.000785579,    0.0419499  -0.00217761 -0.000674691,   0.0371314 -0.00224617 -0.00048874,    0.0322773    -0.002315 -0.000223671,   0.0273892 -0.00238401 0.000124552,   0.0224689 -0.00245308 0.000559924,   0.0175187 -0.00252212  0.00108638,   0.0125407 -0.00259101  0.00170779,  0.0737116 0.00110544 0.00807387, 
465,   0.0949314 -0.00150885   0.0041568,   0.0952568 -0.00137923  0.00387062,  0.0911434 -0.0014034 0.00353038,    0.086723 -0.00146329  0.00312667,    0.082258 -0.00152466  0.00276265,    0.077748 -0.00158724  0.00244182,   0.0731928 -0.00165086  0.00216779,   0.0685929 -0.00171544  0.00194427,   0.0639489 -0.00178092  0.00177531,   0.0592615 -0.00184723  0.00166494,   0.0545314 -0.00191426  0.00161713,   0.0497598 -0.00198192  0.00163595,   0.0449478 -0.00205012  0.00172554,   0.0400969 -0.00211877  0.00189003,   0.0352084 -0.00218778  0.00213359,    0.030284 -0.00225704  0.00246036,   0.0253256 -0.00232647  0.00287444,   0.0203352 -0.00239595  0.00337991,    0.015315 -0.00246538  0.00398077,   0.0102673 -0.00253463  0.00468094,  0.0745817 0.00112604  0.0110286, 
