120,  -0.00302429 -0.000249261     0.619861, 1.22957e-308 1.22957e-308     0.622451,  -0.00290743 -0.000271284     0.619885,  -0.00284478 -0.000299439     0.619909,  -0.00282518 -0.000329793     0.619937, -0.00285356 -0.00035749    0.619971,  -0.00293167 -0.000382997     0.620011,  -0.00306148 -0.000407552     0.620059,  -0.00324494 -0.000431547     0.620116,  -0.00348387 -0.000454847     0.620184, -0.00378017 -0.00047715    0.620264,  -0.00413573 -0.000498068     0.620357,  -0.00455226 -0.000517142     0.620466, -0.00502945 -0.00053377    0.620593,  -0.00554657 -0.000546565     0.620736,  -0.00539336 -0.000538498     0.621082, 
125,  -0.00300185 -0.000255475     0.619874, 1.22957e-308 1.22957e-308     0.622451,  -0.00290743 -0.000271284     0.619885,  -0.00284478 -0.000299439     0.619909,  -0.00282518 -0.000329793     0.619937, -0.00285356 -0.00035749    0.619971,  -0.00293167 -0.000382997     0.620011,  -0.00306148 -0.000407552     0.620059,  -0.00324494 -0.000431547     0.620116,  -0.00348387 -0.000454847     0.620184, -0.00378017 -0.00047715    0.620264,  -0.00413573 -0.000498068     0.620357,  -0.00455226 -0.000517142     0.620466, -0.00502945 -0.00053377    0.620593,  -0.00554657 -0.000546565     0.620736,  -0.00539336 -0.000538498     0.621082, 
130,  -0.00296915 -0.000260973     0.619893, 1.22957e-308 1.22957e-308     0.622451,  -0.00290743 -0.000271284     0.619885,  -0.00284478 -0.000299439     0.619909,  -0.00282518 -0.000329793     0.619937, -0.00285356 -0.00035749    0.619971,  -0.00293167 -0.000382997     0.620011,  -0.00306148 -0.000407552     0.620059,  -0.00324494 -0.000431547     0.620116,  -0.00348387 -0.000454847     0.620184, -0.00378017 -0.00047715    0.620264,  -0.00413573 -0.000498068     0.620357,  -0.00455226 -0.000517142     0.620466, -0.00502945 -0.00053377    0.620593,  -0.00554657 -0.000546565     0.620736,  -0.00539336 -0.000538498     0.621082, 
135,  -0.00292946 -0.000265417     0.619915, 1.2951e-308 1.2951e-308    0.622451,  -0.00258986 -0.000279526     0.620095,  -0.00246571 -0.000286455     0.620203,  -0.00239482 -0.000297489     0.620316,  -0.00237759 -0.000309639     0.620435,  -0.00241541 -0.000321873     0.620561,  -0.00251009 -0.000334139     0.620695,   -0.0026636 -0.000346371     0.620839,  -0.00287803 -0.000358344     0.620996,  -0.00315556 -0.000369751     0.621166,  -0.00349843 -0.000380227     0.621352,  -0.00390865 -0.000389337     0.621556,  -0.00438601 -0.000396514     0.621781,  -0.00490812 -0.000400503     0.622025, -0.00471597 -0.00038586    0.622474, 
140,  -0.00288497 -0.000268578     0.619939, 1.2951e-308 1.2951e-308    0.622451,  -0.00258986 -0.000279526     0.620095,  -0.00246571 -0.000286455     0.620203,  -0.00239482 -0.000297489     0.620316,  -0.00237759 -0.000309639     0.620435,  -0.00241541 -0.000321873     0.620561,  -0.00251009 -0.000334139     0.620695,   -0.0026636 -0.000346371     0.620839,  -0.00287803 -0.000358344     0.620996,  -0.00315556 -0.000369751     0.621166,  -0.00349843 -0.000380227     0.621352,  -0.00390865 -0.000389337     0.621556,  -0.00438601 -0.000396514     0.621781,  -0.00490812 -0.000400503     0.622025, -0.00471597 -0.00038586    0.622474, 
145,  -0.00283579 -0.000270478     0.619964, 1.2951e-308 1.2951e-308    0.622451,  -0.00258986 -0.000279526     0.620095,  -0.00246571 -0.000286455     0.620203,  -0.00239482 -0.000297489     0.620316,  -0.00237759 -0.000309639     0.620435,  -0.00241541 -0.000321873     0.620561,  -0.00251009 -0.000334139     0.620695,   -0.0026636 -0.000346371     0.620839,  -0.00287803 -0.000358344     0.620996,  -0.00315556 -0.000369751     0.621166,  -0.00349843 -0.000380227     0.621352,  -0.00390865 -0.000389337     0.621556,  -0.00438601 -0.000396514     0.621781,  -0.00490812 -0.000400503     0.622025, -0.00471597 -0.00038586    0.622474, 
150,  -0.00278194 -0.000271138     0.619991, 1.2951e-308 1.2951e-308    0.622451,  -0.00258986 -0.000279526     0.620095,  -0.00246571 -0.000286455     0.620203,  -0.00239482 -0.000297489     0.620316,  -0.00237759 -0.000309639     0.620435,  -0.00241541 -0.000321873     0.620561,  -0.00251009 -0.000334139     0.620695,   -0.0026636 -0.000346371     0.620839,  -0.00287803 -0.000358344     0.620996,  -0.00315556 -0.000369751     0.621166,  -0.00349843 -0.000380227     0.621352,  -0.00390865 -0.000389337     0.621556,  -0.00438601 -0.000396514     0.621781,  -0.00490812 -0.000400503     0.622025, -0.00471597 -0.00038586    0.622474, 
155,  -0.00272341 -0.000270571      0.62002, 1.2951e-308 1.2951e-308    0.622451,  -0.00258986 -0.000279526     0.620095,  -0.00246571 -0.000286455     0.620203,  -0.00239482 -0.000297489     0.620316,  -0.00237759 -0.000309639     0.620435,  -0.00241541 -0.000321873     0.620561,  -0.00251009 -0.000334139     0.620695,   -0.0026636 -0.000346371     0.620839,  -0.00287803 -0.000358344     0.620996,  -0.00315556 -0.000369751     0.621166,  -0.00349843 -0.000380227     0.621352,  -0.00390865 -0.000389337     0.621556,  -0.00438601 -0.000396514     0.621781,  -0.00490812 -0.000400503     0.622025, -0.00471597 -0.00038586    0.622474, 
160,  -0.00266011 -0.000268786     0.620051, 1.2951e-308 1.2951e-308    0.622451,  -0.00258986 -0.000279526     0.620095,  -0.00246571 -0.000286455     0.620203,  -0.00239482 -0.000297489     0.620316,  -0.00237759 -0.000309639     0.620435,  -0.00241541 -0.000321873     0.620561,  -0.00251009 -0.000334139     0.620695,   -0.0026636 -0.000346371     0.620839,  -0.00287803 -0.000358344     0.620996,  -0.00315556 -0.000369751     0.621166,  -0.00349843 -0.000380227     0.621352,  -0.00390865 -0.000389337     0.621556,  -0.00438601 -0.000396514     0.621781,  -0.00490812 -0.000400503     0.622025, -0.00471597 -0.00038586    0.622474, 
165,  -0.00259188 -0.000265781     0.620083, 1.2951e-308 1.2951e-308    0.622451,  -0.00258986 -0.000279526     0.620095,  -0.00246571 -0.000286455     0.620203,  -0.00239482 -0.000297489     0.620316,  -0.00237759 -0.000309639     0.620435,  -0.00241541 -0.000321873     0.620561,  -0.00251009 -0.000334139     0.620695,   -0.0026636 -0.000346371     0.620839,  -0.00287803 -0.000358344     0.620996,  -0.00315556 -0.000369751     0.621166,  -0.00349843 -0.000380227     0.621352,  -0.00390865 -0.000389337     0.621556,  -0.00438601 -0.000396514     0.621781,  -0.00490812 -0.000400503     0.622025, -0.00471597 -0.00038586    0.622474, 
170,  -0.00251848 -0.000261548     0.620118, 1.2951e-308 1.2951e-308    0.622451,  -0.00258986 -0.000279526     0.620095,  -0.00246571 -0.000286455     0.620203,  -0.00239482 -0.000297489     0.620316,  -0.00237759 -0.000309639     0.620435,  -0.00241541 -0.000321873     0.620561,  -0.00251009 -0.000334139     0.620695,   -0.0026636 -0.000346371     0.620839,  -0.00287803 -0.000358344     0.620996,  -0.00315556 -0.000369751     0.621166,  -0.00349843 -0.000380227     0.621352,  -0.00390865 -0.000389337     0.621556,  -0.00438601 -0.000396514     0.621781,  -0.00490812 -0.000400503     0.622025, -0.00471597 -0.00038586    0.622474, 
